id	codigo	direccion	localidad	provincia	ubicacion	latitud	longitud	fuente	fecha_creacion
351	456	594	Av. Inclan 2502	Capital Federal		-34.508130364122600	-58.787873641736006	Georef	2026-06-22 16:05:49.730
352	457	Sarmiento 72	Glew	Buenos Aires		-34.830363377360160	-58.380105700144710	Georef	2026-06-22 16:06:01.517
353	458	Claudio de Alas 2146	Capital Federal	Buenos Aires		-34.720267446944995	-58.462904616885190	Georef	2026-06-22 16:06:05.567
354	459	Camino Gral Belgrano 4861	Capital Federal	Buenos Aires		-34.826133901828690	-58.183162203113720	Georef	2026-06-22 16:06:09.477
355	460	Eva Perón 3330	Capital Federal	Buenos Aires		-34.583832082125990	-58.661330651328825	Georef	2026-06-22 16:06:13.363
356	461	Salta 160	Capital Federal	Buenos Aires		-33.885698806908030	-60.563204140210770	Georef	2026-06-22 16:06:17.450
357	462	12 de octubre 520	Capital Federal	Buenos Aires		-38.088541679482610	-63.427647211440096	Georef	2026-06-22 16:06:21.387
358	464	Av. Peron 5492	Capital Federal	Buenos Aires		-27.461062531454658	-58.782394228274974	Georef	2026-06-22 16:06:37.303
359	465	606	Obispo Trejo 1166	Capital Federal		-35.764190381363950	-58.515019369330350	Georef	2026-06-22 16:06:41.547
362	469	Fraga 1629	Capital Federal	Buenos Aires		-34.673317859546444	-58.765771357420410	Georef	2026-06-22 16:07:09.963
363	470	El Payador 5550	Capital Federal	Buenos Aires		-34.588982376772236	-58.573371733179880	Georef	2026-06-22 16:07:14.167
365	472	Jauretche 1125	Capital Federal	Buenos Aires		-42.750517394511030	-65.046751667698670	Georef	2026-06-22 16:07:28.923
366	473	9 de Julio 46	Ramos Mejia	Buenos Aires		-34.639643433423550	-58.565153518983850	Georef	2026-06-22 16:07:42.303
367	474	Echeverri 943	Merlo	Buenos Aires		-34.671419070734030	-58.689131822985615	Georef	2026-06-22 16:07:53.547
368	475	Av. de Mayo 1832	Capital Federal	Buenos Aires		-33.888741752715330	-60.585185365647256	Georef	2026-06-22 16:07:57.687
369	476	Chilavert 1912	Capital Federal	Buenos Aires		-31.387233986222434	-64.146545223259200	Georef	2026-06-22 16:08:01.740
371	478	Misiones 6572	Palomar	Buenos Aires		-34.605270614119870	-58.593971471728010	Georef	2026-06-22 16:08:24.330
372	479	Eva Perón 4215	Capital Federal	Buenos Aires		-34.727436852444540	-58.354866380179786	Georef	2026-06-22 16:08:28.220
373	480	Av. Crovara 875	Capital Federal	Buenos Aires		-34.678783776159230	-58.509386289401135	Georef	2026-06-22 16:08:32.120
374	481	Boulogne Sur Mer 1398	Capital Federal	Buenos Aires		-34.642044315602620	-58.667613547813610	Georef	2026-06-22 16:08:36.433
375	482	Sullivan 1597	Capital Federal	Buenos Aires		-34.654041930975600	-58.714404688433450	Georef	2026-06-22 16:08:40.500
377	484	Salvador Maria del Carril 49	Capital Federal	Buenos Aires		-34.657246971762240	-58.762943065772920	Georef	2026-06-22 16:08:56.863
379	486	Av. San Juan 1374	Capital Federal	Capital Federal		-34.622371084617086	-58.385462996870350	Georef	2026-06-22 16:09:13.487
380	487	La Rioja 2040	Capital Federal	Capital Federal		-34.517398457701970	-58.541354350446106	Georef	2026-06-22 16:09:17.340
381	488	Av. Belgrano 1562	Capital Federal	Capital Federal		-34.613600825175350	-58.388408516930740	Georef	2026-06-22 16:09:21.463
382	489	Av. Caseros 2423	Capital Federal	Capital Federal		-34.635441501467580	-58.396285657751350	Georef	2026-06-22 16:09:25.300
383	491	Av. Montes de Oca 970	Capital Federal	Capital Federal		-34.639375325865810	-58.374458739330260	Georef	2026-06-22 16:09:37.683
384	492	Pedro Lozano 3150	Capital Federal	Capital Federal		-34.600895677914860	-58.494476339324265	Georef	2026-06-22 16:09:41.683
385	493	Charcas 3940	Capital Federal	Capital Federal		-34.671182497105610	-58.517544338017020	Georef	2026-06-22 16:09:46.150
386	494	Francisco Segui 1519	Capital Federal	Buenos Aires		-33.226689360487420	-60.323268777886420	Georef	2026-06-22 16:09:50.030
388	496	José Hernandez 130	Capital Federal	Buenos Aires		-31.336537216187380	-61.820469163825344	Georef	2026-06-22 16:10:07.177
389	498	Av. Luro 6329	Capital Federal	Buenos Aires		-37.979406767657444	-57.584132300642060	Georef	2026-06-22 16:10:24.307
391	512	Francisco Ramirez 43	Capital Federal	Buenos Aires		-32.302300269447564	-59.138687472729316	Georef	2026-06-22 16:10:41.200
392	516	671	Mcal. Antonio Jose Sucre 2774	Capital Federal		-34.613111722496400	-58.575972553656754	Georef	2026-06-22 16:10:45.380
393	521	Av. Urquiza 4855	Capital Federal	Buenos Aires		-35.457199270296440	-60.885140075908105	Georef	2026-06-22 16:10:49.320
394	522	Arieta 2850	Capital Federal	Buenos Aires		-34.676284866896100	-58.563561540811650	Georef	2026-06-22 16:10:53.500
395	524	Bernardo Irigoyen 746	Capital Federal	Buenos Aires		-38.366679350322380	-60.274458167811630	Georef	2026-06-22 16:10:57.567
396	525	Crisologo Larralde 3721	Capital Federal	Capital Federal		-34.694431455454320	-58.349249641927905	Georef	2026-06-22 16:11:01.497
398	527	Fray Justo Santa Maria de Oro 2121	Capital Federal	Capital Federal		-34.583227456700830	-58.427911474812355	Georef	2026-06-22 16:11:17.710
399	528	Aguirre 236	Capital Federal	Capital Federal		-34.599885943225090	-58.433567842555170	Georef	2026-06-22 16:11:21.770
