store_id,official_address,neighborhood,locality
711,Av. Alvarez Thomas 372,Colegiales,C.A.B.A.
714,Mariscal Sucre 4230,Villa Urquiza,C.A.B.A.
715,Av. Cordoba 4967,Palermo,C.A.B.A.
716,Castañeda 1836,Belgrano,C.A.B.A.
717,Junin 1460,Recoleta,C.A.B.A.
719,Yerbal 2701,Flores,C.A.B.A.
720,Independencia 585,Córdoba Capital,Córdoba
723,Av. Leandro Nicéforo Alem 198,San Nicolás,C.A.B.A.
724,Ayacucho 539,San Nicolás,C.A.B.A.
725,Directorio 2320,Flores,C.A.B.A.
726,Lisandro de Latorre 199,Liniers,C.A.B.A.
727,Montiel 168,Liniers,C.A.B.A.
729,Av. Belgrano 2160,Balvanera,C.A.B.A.
731,Sarmiento 4551,Villa Crespo,C.A.B.A.
732,Ambrosetti 758,Caballito,C.A.B.A.
733,Lisandro de Latorre 790,Mataderos,C.A.B.A.
734,Urquiza 1013,Boedo,C.A.B.A.
735,Av. Pueyrredon 2120,Recoleta,C.A.B.A.
736,Chile 154,Córdoba Capital,Córdoba
739,Franklin D Roosevelt 3002,Belgrano,C.A.B.A.
740,Varela 888,Flores,C.A.B.A.
741,Av. Triunvirato 4210,Villa Urquiza,C.A.B.A.
742,Av. Juan Bautista Alberdi 5494,Mataderos,C.A.B.A.
744,Independencia 907,Monserrat,C.A.B.A.
745,Serrano 1458,Palermo,C.A.B.A.
747,Jose Antonio Cabrera 4106,Palermo,C.A.B.A.
748,Malabia 494,Palermo,C.A.B.A.
751,Esmeralda 1040,Retiro,C.A.B.A.
752,Balcarce 379,Retiro,C.A.B.A.
754,Av. Las Heras 3315,Recoleta,C.A.B.A.
755,Concejal Tribulato 1281,San Miguel,G.B.A.
756,Paraguay 3079,Palermo,C.A.B.A.
757,Av. Santa Fe 2429,Recoleta,C.A.B.A.
758,Av. Corrientes 3401,Almagro,C.A.B.A.
759,Juan Ramirez Velasco 745,Villa Crespo,C.A.B.A.
761,Av. Corrientes 919/21,San Nicolás,C.A.B.A.
762,Sarachaga 780,Córdoba Capital,Córdoba
764,San Lorenzo 484,Córdoba Capital,Córdoba
765,Buenos Aires 65,Córdoba Capital,Córdoba
766,27 de abril 458,Córdoba Capital,Córdoba
767,24 de Septiembre 1594,Córdoba Capital,Córdoba
768,Independencia 855,Córdoba Capital,Córdoba
769,San Martín 625,Villa Carlos Paz,Córdoba
770,Ituzaingo 514,Córdoba Capital,Córdoba
